geoid11,geoid11name,population,asian,black,hispanic,white
36001000100,"Census Tract 1, Albany County, New York",2139,55,1343,198,466
36001000200,"Census Tract 2, Albany County, New York",6046,54,4455,648,699
36001000300,"Census Tract 3, Albany County, New York",5888,211,2077,615,2740
36001000401,"Census Tract 4.01, Albany County, New York",2227,56,198,53,1896
36001000403,"Census Tract 4.03, Albany County, New York",4415,443,407,201,3275
36001000404,"Census Tract 4.04, Albany County, New York",5203,371,707,647,3327
36001000501,"Census Tract 5.01, Albany County, New York",3412,147,1058,377,1658
36001000502,"Census Tract 5.02, Albany County, New York",3448,221,434,276,2419
36001000600,"Census Tract 6, Albany County, New York",3676,310,1271,419,1465
36001000700,"Census Tract 7, Albany County, New York",3821,23,2889,383,360
36001000800,"Census Tract 8, Albany County, New York",2393,53,1343,330,562
36001001100,"Census Tract 11, Albany County, New York",1169,87,494,127,413
36001001400,"Census Tract 14, Albany County, New York",3560,155,322,216,2772
36001001500,"Census Tract 15, Albany County, New York",4606,316,623,308,3210
36001001600,"Census Tract 16, Albany County, New York",4273,208,506,291,3133
36001001700,"Census Tract 17, Albany County, New York",4021,225,450,235,2989
36001001801,"Census Tract 18.01, Albany County, New York",6579,328,407,213,5541
36001001802,"Census Tract 18.02, Albany County, New York",3816,211,285,132,3100
36001001901,"Census Tract 19.01, Albany County, New York",2607,75,184,106,2176
36001001902,"Census Tract 19.02, Albany County, New York",2581,133,231,103,2056
36001002000,"Census Tract 20, Albany County, New York",5771,265,1868,671,2747
36001002100,"Census Tract 21, Albany County, New York",3773,495,810,230,2087
36001002200,"Census Tract 22, Albany County, New York",2344,114,559,201,1387
36001002300,"Census Tract 23, Albany County, New York",2051,62,1021,254,620
36001002500,"Census Tract 25, Albany County, New York",2872,33,1754,492,486
36001002600,"Census Tract 26, Albany County, New York",5165,199,2783,670,1273
36001012700,"Census Tract 127, Albany County, New York",2342,17,66,90,2118
36001012800,"Census Tract 128, Albany County, New York",3836,15,278,182,3199
36001012900,"Census Tract 129, Albany County, New York",3445,44,216,170,2891
36001013000,"Census Tract 130, Albany County, New York",6545,65,131,164,6061
36001013100,"Census Tract 131, Albany County, New York",2620,46,118,87,2287
36001013200,"Census Tract 132, Albany County, New York",3397,108,243,250,2692
36001013300,"Census Tract 133, Albany County, New York",4427,121,396,263,3523
36001013400,"Census Tract 134, Albany County, New York",2430,24,164,110,2069
36001013503,"Census Tract 135.03, Albany County, New York",4277,440,187,96,3469
36001013505,"Census Tract 135.05, Albany County, New York",2712,138,28,50,2455
36001013506,"Census Tract 135.06, Albany County, New York",6361,509,278,204,5229
36001013507,"Census Tract 135.07, Albany County, New York",2594,346,144,100,1931
36001013508,"Census Tract 135.08, Albany County, New York",6547,508,239,162,5499
36001013601,"Census Tract 136.01, Albany County, New York",9372,622,331,310,7928
36001013602,"Census Tract 136.02, Albany County, New York",4409,553,537,174,3031
36001013703,"Census Tract 137.03, Albany County, New York",2500,87,461,85,1841
36001013705,"Census Tract 137.05, Albany County, New York",6628,243,249,163,5866
36001013706,"Census Tract 137.06, Albany County, New York",2124,86,28,61,1908
36001013707,"Census Tract 137.07, Albany County, New York",6061,303,165,141,5380
36001013801,"Census Tract 138.01, Albany County, New York",7278,224,444,280,6198
36001013802,"Census Tract 138.02, Albany County, New York",4390,258,110,86,3873
36001013901,"Census Tract 139.01, Albany County, New York",2460,153,95,65,2106
36001013902,"Census Tract 139.02, Albany County, New York",5333,355,249,138,4521
36001014001,"Census Tract 140.01, Albany County, New York",4003,390,268,218,2997
36001014002,"Census Tract 140.02, Albany County, New York",4542,127,248,193,3856
36001014100,"Census Tract 141, Albany County, New York",5304,248,100,113,4745
36001014201,"Census Tract 142.01, Albany County, New York",5768,170,87,130,5291
36001014202,"Census Tract 142.02, Albany County, New York",5938,172,91,161,5416
36001014203,"Census Tract 142.03, Albany County, New York",6002,89,119,141,5557
36001014301,"Census Tract 143.01, Albany County, New York",2852,26,272,128,2381
36001014302,"Census Tract 143.02, Albany County, New York",7792,355,159,223,6924
36001014401,"Census Tract 144.01, Albany County, New York",4151,23,69,118,3857
36001014402,"Census Tract 144.02, Albany County, New York",3267,27,118,246,2809
36001014501,"Census Tract 145.01, Albany County, New York",2380,29,7,24,2277
36001014502,"Census Tract 145.02, Albany County, New York",3479,23,21,61,3306
36001014503,"Census Tract 145.03, Albany County, New York",2789,43,22,60,2641
36001014606,"Census Tract 146.06, Albany County, New York",3675,161,36,112,3296
36001014607,"Census Tract 146.07, Albany County, New York",8262,409,151,207,7391
36001014608,"Census Tract 146.08, Albany County, New York",4358,273,332,282,3359
36001014609,"Census Tract 146.09, Albany County, New York",4645,377,187,149,3843
36001014611,"Census Tract 146.11, Albany County, New York",1818,82,33,57,1621
36001014612,"Census Tract 146.12, Albany County, New York",1720,22,12,38,1637
36001014613,"Census Tract 146.13, Albany County, New York",2863,44,71,59,2634
36001014614,"Census Tract 146.14, Albany County, New York",5588,658,194,164,4490
36001014615,"Census Tract 146.15, Albany County, New York",2374,605,111,64,1542
36001014700,"Census Tract 147, Albany County, New York",2692,6,12,20,2623
36001014801,"Census Tract 148.01, Albany County, New York",2794,15,17,36,2704
36001014802,"Census Tract 148.02, Albany County, New York",1843,4,18,34,1774
36001014803,"Census Tract 148.03, Albany County, New York",3361,7,5,52,3249
36003940200,"Census Tract 9402, Allegany County, New York",1,0,0,0,0
36003950100,"Census Tract 9501, Allegany County, New York",2555,4,2,21,2501
36003950300,"Census Tract 9503, Allegany County, New York",4927,82,41,59,4684
36003950400,"Census Tract 9504, Allegany County, New York",3649,11,7,36,3553
36003950500,"Census Tract 9505, Allegany County, New York",3799,12,26,59,3649
36003950600,"Census Tract 9506, Allegany County, New York",3960,9,50,59,3787
36003950700,"Census Tract 9507, Allegany County, New York",3821,31,24,48,3668
36003950800,"Census Tract 9508, Allegany County, New York",6384,221,275,210,5553
36003950900,"Census Tract 9509, Allegany County, New York",3938,11,13,42,3819
36003951000,"Census Tract 9510, Allegany County, New York",3249,9,12,24,3167
36003951100,"Census Tract 9511, Allegany County, New York",3938,28,14,25,3831
36003951200,"Census Tract 9512, Allegany County, New York",5086,15,16,42,4969
36003951300,"Census Tract 9513, Allegany County, New York",3639,18,14,45,3520
36005000100,"Census Tract 1, Bronx County, New York",11091,32,6206,3779,782
36005000200,"Census Tract 2, Bronx County, New York",4334,127,977,2993,130
36005000400,"Census Tract 4, Bronx County, New York",5503,111,1327,3755,189
36005001600,"Census Tract 16, Bronx County, New York",5643,50,1829,3482,195
36005001900,"Census Tract 19, Bronx County, New York",1917,22,487,1186,187
36005002000,"Census Tract 20, Bronx County, New York",8731,81,3023,5361,112
36005002300,"Census Tract 23, Bronx County, New York",4933,9,1603,3223,41
36005002400,"Census Tract 24, Bronx County, New York",4,0,0,4,0
36005002500,"Census Tract 25, Bronx County, New York",5491,26,988,4349,78
36005002701,"Census Tract 27.01, Bronx County, New York",3113,5,992,2050,28
36005002702,"Census Tract 27.02, Bronx County, New York",4475,25,955,3385,41
36005002800,"Census Tract 28, Bronx County, New York",5586,6,4189,1239,45
36005003100,"Census Tract 31, Bronx County, New York",1597,6,541,1018,8
36005003300,"Census Tract 33, Bronx County, New York",3413,12,875,2465,34
36005003500,"Census Tract 35, Bronx County, New York",3761,10,896,2787,41
36005003700,"Census Tract 37, Bronx County, New York",245,0,78,159,8
36005003800,"Census Tract 38, Bronx County, New York",1264,13,425,761,25
36005003900,"Census Tract 39, Bronx County, New York",6475,47,945,5269,162
36005004001,"Census Tract 40.01, Bronx County, New York",1420,299,222,726,107
36005004100,"Census Tract 41, Bronx County, New York",6127,12,1499,4449,105
36005004200,"Census Tract 42, Bronx County, New York",7143,27,2985,3948,80
36005004300,"Census Tract 43, Bronx County, New York",5056,35,1060,3834,85
36005004400,"Census Tract 44, Bronx County, New York",4797,68,1652,2913,101
36005004600,"Census Tract 46, Bronx County, New York",1555,0,593,912,32
36005004800,"Census Tract 48, Bronx County, New York",3883,53,682,2989,69
36005005001,"Census Tract 50.01, Bronx County, New York",4767,40,1283,3306,55
36005005002,"Census Tract 50.02, Bronx County, New York",5823,85,933,4617,60
36005005100,"Census Tract 51, Bronx County, New York",5810,5,2008,3695,49
36005005200,"Census Tract 52, Bronx County, New York",2031,12,585,1348,34
36005005300,"Census Tract 53, Bronx County, New York",4669,8,2521,2027,40
36005005400,"Census Tract 54, Bronx County, New York",5853,146,1492,3810,90
36005005600,"Census Tract 56, Bronx County, New York",2711,60,607,1830,41
36005005902,"Census Tract 59.02, Bronx County, New York",2582,34,761,1631,113
36005006000,"Census Tract 60, Bronx County, New York",1129,3,148,938,21
36005006100,"Census Tract 61, Bronx County, New York",3713,9,3018,565,48
36005006200,"Census Tract 62, Bronx County, New York",6585,69,2146,4205,38
36005006300,"Census Tract 63, Bronx County, New York",5280,223,1265,3481,196
36005006400,"Census Tract 64, Bronx County, New York",3967,138,1344,2165,64
36005006500,"Census Tract 65, Bronx County, New York",5337,98,1550,3438,169
36005006700,"Census Tract 67, Bronx County, New York",6984,55,1667,5123,88
36005006800,"Census Tract 68, Bronx County, New York",2897,148,890,1667,44
36005006900,"Census Tract 69, Bronx County, New York",7564,85,2546,4747,97
36005007000,"Census Tract 70, Bronx County, New York",4584,406,1020,2791,116
36005007100,"Census Tract 71, Bronx County, New York",1907,17,620,1243,12
36005007200,"Census Tract 72, Bronx County, New York",5432,1539,649,2818,215
36005007300,"Census Tract 73, Bronx County, New York",3893,11,871,2929,38
36005007400,"Census Tract 74, Bronx County, New York",3710,82,1357,2118,69
36005007500,"Census Tract 75, Bronx County, New York",4869,20,1429,3306,43
36005007600,"Census Tract 76, Bronx County, New York",5190,357,1067,3418,121
36005007700,"Census Tract 77, Bronx County, New York",1927,11,430,1420,34
36005007800,"Census Tract 78, Bronx County, New York",6418,511,1002,4284,321
36005007900,"Census Tract 79, Bronx County, New York",6733,17,1674,4888,90
36005008300,"Census Tract 83, Bronx County, New York",6155,22,923,5089,77
36005008400,"Census Tract 84, Bronx County, New York",2374,75,760,1448,44
36005008500,"Census Tract 85, Bronx County, New York",5457,44,1078,4173,95
36005008600,"Census Tract 86, Bronx County, New York",4176,65,1322,2642,46
36005008700,"Census Tract 87, Bronx County, New York",5466,7,1072,4274,63
36005008900,"Census Tract 89, Bronx County, New York",3177,20,449,2641,45
36005009000,"Census Tract 90, Bronx County, New York",3667,72,1089,2367,100
36005009200,"Census Tract 92, Bronx County, New York",5017,770,634,3044,273
36005009300,"Census Tract 93, Bronx County, New York",6356,39,1683,4435,113
36005009600,"Census Tract 96, Bronx County, New York",2594,291,392,1541,198
36005009800,"Census Tract 98, Bronx County, New York",5038,201,1316,3137,170
36005011000,"Census Tract 110, Bronx County, New York",151,12,15,119,5
36005011502,"Census Tract 115.02, Bronx County, New York",4340,27,1097,3137,35
36005011700,"Census Tract 117, Bronx County, New York",1585,1,447,1112,12
36005011800,"Census Tract 118, Bronx County, New York",5089,93,160,878,3891
36005011900,"Census Tract 119, Bronx County, New York",5698,38,1382,4119,80
36005012101,"Census Tract 121.01, Bronx County, New York",3090,16,927,2080,36
36005012102,"Census Tract 121.02, Bronx County, New York",1631,1,294,1300,11
36005012300,"Census Tract 123, Bronx County, New York",4152,32,1117,2924,30
36005012500,"Census Tract 125, Bronx County, New York",3905,55,1180,2560,37
36005012701,"Census Tract 127.01, Bronx County, New York",2253,52,488,1642,29
36005012901,"Census Tract 129.01, Bronx County, New York",4015,20,1206,2706,46
36005013000,"Census Tract 130, Bronx County, New York",1032,29,26,498,467
36005013100,"Census Tract 131, Bronx County, New York",5103,42,1587,3289,101
36005013200,"Census Tract 132, Bronx County, New York",5890,296,464,3011,2012
36005013300,"Census Tract 133, Bronx County, New York",6384,19,2527,3692,39
36005013500,"Census Tract 135, Bronx County, New York",3583,13,1522,1972,45
36005013800,"Census Tract 138, Bronx County, New York",3042,95,135,826,1939
36005014100,"Census Tract 141, Bronx County, New York",3437,48,1158,2107,67
36005014300,"Census Tract 143, Bronx County, New York",1003,3,536,438,22
36005014400,"Census Tract 144, Bronx County, New York",5880,86,1770,3586,306
36005014500,"Census Tract 145, Bronx County, New York",5816,13,2737,2895,78
36005014701,"Census Tract 147.01, Bronx County, New York",6461,11,3036,3308,52
36005014702,"Census Tract 147.02, Bronx County, New York",5110,14,2162,2826,25
36005014900,"Census Tract 149, Bronx County, New York",4591,15,1762,2591,169
36005015100,"Census Tract 151, Bronx County, New York",5409,21,2493,2753,48
36005015200,"Census Tract 152, Bronx County, New York",2341,74,138,1295,794
36005015300,"Census Tract 153, Bronx County, New York",4031,28,1944,1982,20
36005015500,"Census Tract 155, Bronx County, New York",3005,23,592,2331,30
36005015700,"Census Tract 157, Bronx County, New York",3580,17,1239,2246,37
36005015800,"Census Tract 158, Bronx County, New York",1206,40,59,570,505
36005015900,"Census Tract 159, Bronx County, New York",2164,9,209,1919,17
36005016000,"Census Tract 160, Bronx County, New York",3767,125,65,968,2536
36005016100,"Census Tract 161, Bronx County, New York",4380,20,1453,2816,41
36005016200,"Census Tract 162, Bronx County, New York",1769,64,72,651,951
36005016300,"Census Tract 163, Bronx County, New York",0,0,0,0,0
36005016400,"Census Tract 164, Bronx County, New York",1141,38,31,437,620
36005016500,"Census Tract 165, Bronx County, New York",1077,0,468,580,10
36005016600,"Census Tract 166, Bronx County, New York",2166,127,78,1084,822
36005016700,"Census Tract 167, Bronx County, New York",2047,1,1019,1004,15
36005016900,"Census Tract 169, Bronx County, New York",1663,1,863,750,23
36005017100,"Census Tract 171, Bronx County, New York",0,0,0,0,0
36005017300,"Census Tract 173, Bronx County, New York",5987,41,2157,3631,71
36005017500,"Census Tract 175, Bronx County, New York",6911,32,2757,3912,84
36005017701,"Census Tract 177.01, Bronx County, New York",4294,35,1747,2349,101
36005017702,"Census Tract 177.02, Bronx County, New York",4805,41,2034,2607,53
36005017901,"Census Tract 179.01, Bronx County, New York",4677,172,1038,3358,55
36005017902,"Census Tract 179.02, Bronx County, New York",3587,13,1334,2158,37
36005018101,"Census Tract 181.01, Bronx County, New York",3300,21,1430,1737,35
36005018102,"Census Tract 181.02, Bronx County, New York",5555,235,2229,2951,88
36005018301,"Census Tract 183.01, Bronx County, New York",4525,140,1526,2562,137
36005018302,"Census Tract 183.02, Bronx County, New York",3647,55,1389,2063,43
36005018400,"Census Tract 184, Bronx County, New York",3855,104,85,1257,2358
36005018500,"Census Tract 185, Bronx County, New York",7466,18,2962,4280,82
36005018900,"Census Tract 189, Bronx County, New York",7752,53,2406,5064,125
36005019300,"Census Tract 193, Bronx County, New York",5461,12,1807,3537,37
36005019400,"Census Tract 194, Bronx County, New York",1903,50,202,1084,512
36005019500,"Census Tract 195, Bronx County, New York",7756,82,2350,5046,143
36005019700,"Census Tract 197, Bronx County, New York",7501,410,1537,5285,86
36005019900,"Census Tract 199, Bronx County, New York",8154,31,2387,5527,117
36005020000,"Census Tract 200, Bronx County, New York",4878,1375,369,2628,376
36005020100,"Census Tract 201, Bronx County, New York",4013,16,1412,2473,54
36005020200,"Census Tract 202, Bronx County, New York",2155,302,211,1301,253
36005020400,"Census Tract 204, Bronx County, New York",2976,341,302,1900,296
36005020501,"Census Tract 205.01, Bronx County, New York",6996,20,2616,4188,79
36005020502,"Census Tract 205.02, Bronx County, New York",1764,3,550,1155,35
36005020601,"Census Tract 206.01, Bronx County, New York",3050,497,368,1726,269
36005020900,"Census Tract 209, Bronx County, New York",4361,22,1415,2795,68
